Background,Park,,,,,
Words,Rina,公園沢山見て回りましたわね！,PC_Smile,PC_Embarrassment,Active,Active
Words,Adolf,(まさか半日ずっと公園巡りする羽目になるとは...),,,,
Words,Rina,最初の紅葉饅頭もとても美味しかったですけど\「紅葉」もとても綺麗でしたわ！！,,PC_Origin,,
Words,Rina,何もかもアドルフが仰っていた通りですわ！\この芝だんごも美味しいですし！,,,,
Words,Adolf,楽しめたようでなりよりです\これからどうなさいますか？,,,,
Words,Rina,メイド達へのお土産も買っていきましょうか？,PC_Origin,,,
Words,Adolf,承知しました、\丁度そこに商店街がありますしそこで探してみましょう,,PC_Smile,,
Background,ShoppingStreet,,,,,
Words,Rina,ん～あれも良さそうですし、これも良さそうですわ,PC_Interesting,,Active,
Words,Adolf,これで15軒目ですよ\お嬢様本当元気ですね…,,PC_Embarrassment,,Active
Words,Rina,当然ですわ！初めてアドルフとお出掛けできたんですもの！\疲れてなんていられませんわ！,,,,
Words,Rina,しかし何かないですかね、どれも美味しそうで決めきれないですわ,,PC_Surprised,,
Words,Rina,アドルフ、何かおすすめとかありますか？,,,,
Words,Adolf,そうですね、首都ばなななんていかがでしょう？,,PC_Smile,,
Words,Rina,首都ばななですか！少し試しにいただいてきますわ,,PC_Origin,,
Words,Rina,(あむあむあむ…),,,,
Words,Rina,んん〜！とても美味ですわ！ちょっとそちらの旦那様！\こちらの商品を5つ…いや6つほど包んでいただけますか？,,PC_Smile,,
Words,Mr,まいど！首都ばなな16個入り6つで12960円だね,,,,
Words,Rina,あ、お金持っていませんわ…,PC_Sad,,,
Words,Rina,アドルフー！お支払いお願い出来ます？,PC_Smile,PC_Embarrassment,,
Background,Alley,,,,,
Words,Rina,〜♪,PC_Smile,PC_Origin,Active,Active
Words,Adolf,さて次は…おっともう日が暮れますね、\夜道は危険ですから何処か旅館を探しましょうか,PC_Origin,,,
Words,Rina,「旅館」探しですわね！...\先程の「公園」と似たようなものですの？,,,,
Words,Adolf,いえこれから泊まりに行くんですよ,PC_Smile,PC_Smile,,
Words,Rina,あら、そうでしたの！\なら早く探しに行きましょ！,,,,
Words,Adolf,…,,PC_Origin,,
Words,Adolf,お嬢様！\先に旅館を見つけ出した方がベッドの所有権を得られますよ！,,PC_Smile,,
Words,Rina,あ！抜け駆けずるいですわ！\負けませんわよ！,PC_Angry,,,Inactive
Scene,Main2,,,,,
